query,name,site,type,subtypes,category,phone,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,located_in,working_hours,working_hours_old_format,other_hours,popular_times,business_status,about,range,posts,logo,description,typical_time_spent,verified,owner_id,owner_title,owner_link,reservation_links,booking_appointment_link,menu_link,order_links,location_link,place_id,google_id,cid,reviews_id,located_google_id
"apartment building, 48107, Ann Arbor, MI, US",307 Thompson Apartments,http://wilsonwhitecampus.com/property-detail/?propID=410,Apartment building,Apartment building,Apartment building,+1 734-973-1616,"307 Thompson St, Ann Arbor, MI 48104",None,307 Thompson St,Ann Arbor,48104,Michigan,Michigan,United States of America,US,42.2791082,-83.7429474,America/Detroit,,FALSE,,,,,,,,,,,4,https://lh5.googleusercontent.com/p/AF1QipNVUdLMa530pdMW70ee0YUQIzUvcQIoZBmEq7Um=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNVUdLMa530pdMW70ee0YUQIzUvcQIoZBmEq7Um=w1600-h1000-k-no,,,,,,OPERATIONAL,{},,,,,,FALSE,None,307 Thompson Apartments,,,,,,"https://www.google.com/maps/place/307+Thompson+Apartments/@42.279108199999996,-83.74294739999999,14z/data=!4m8!1m2!2m1!1s307+Thompson+Apartments!3m4!1s0x883caf269154715f:0x7bc74a4f3cfc4c4d!8m2!3d42.279108199999996!4d-83.74294739999999",ChIJX3FUkSavPIgRTUz8PE9Kx3s,0x883caf269154715f:0x7bc74a4f3cfc4c4d,8919179291216596045,None,
"apartment building, 48107, Ann Arbor, MI, US",Atrio Apartments,https://www.cabrioproperties.com/,Apartment building,Apartment building,Apartment building,+1 734-994-7374,"1000 W Huron St, Ann Arbor, MI 48103",Arborview Neighborhood,1000 W Huron St,Ann Arbor,48103,Michigan,Michigan,United States of America,US,42.2820298,-83.7599579,America/Detroit,,FALSE,1.3,4,"https://search.google.com/local/reviews?placeid=ChIJnd2dSyCuPIgRk9CIHwH_ZZo&q=apartment+building,+48107,+Ann+Arbor,+MI,+US&authuser=0&hl=en&gl=US",,,3,1,0,0,0,2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fWRYqqQVNAqYNqKwhz6X6Q&cb_client=search.gws-prod.gps&w=800&h=500&yaw=343.29184&pitch=0&thumbfov=100,https://lh5.googleusercontent.com/p/AF1QipPmsp36PqYsTDUyyHPWtEVaHUbBytbEo-e5f6TP=w1600-h1000-k-no,,"{""Sunday"": ""9AM-9:30PM"", ""Monday"": ""9AM-9:30PM"", ""Tuesday"": ""9AM-9:30PM"", ""Wednesday"": ""9AM-9:30PM"", ""Thursday"": ""9AM-9:30PM"", ""Friday"": ""9AM-9:30PM"", ""Saturday"": ""9AM-9:30PM""}",Sunday:9AM-9:30PM|Monday:9AM-9:30PM|Tuesday:9AM-9:30PM|Wednesday:9AM-9:30PM|Thursday:9AM-9:30PM|Friday:9AM-9:30PM|Saturday:9AM-9:30PM,,,OPERATIONAL,{},,,,,,FALSE,None,Atrio Apartments,,,,,,"https://www.google.com/maps/place/Atrio+Apartments/@42.2820298,-83.75995789999999,14z/data=!4m8!1m2!2m1!1sAtrio+Apartments!3m4!1s0x883cae204b9ddd9d:0x9a65ff011f88d093!8m2!3d42.2820298!4d-83.75995789999999",ChIJnd2dSyCuPIgRk9CIHwH_ZZo,0x883cae204b9ddd9d:0x9a65ff011f88d093,11125578834777788563,-7321165238931763053,
"apartment building, 48107, Ann Arbor, MI, US",Evergreen Apartments,https://www.apartments.com/evergreen-apartments-ann-arbor-mi/2tspwnc/,Apartment building,Apartment building,Apartment building,+1 844-284-1933,"439 3rd St, Ann Arbor, MI 48103",Old West Side,439 3rd St,Ann Arbor,48103,Michigan,Michigan,United States of America,US,42.2767392,-83.7532362,America/Detroit,,FALSE,3,2,"https://search.google.com/local/reviews?placeid=ChIJ-fje6iSuPIgRFw2mRI1Vfmk&q=apartment+building,+48107,+Ann+Arbor,+MI,+US&authuser=0&hl=en&gl=US",,,1,0,0,0,1,2,https://lh5.googleusercontent.com/p/AF1QipMag8WjBoEa6h0Qq1rTCqF4t6Tnq036c6t_rXgU=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMag8WjBoEa6h0Qq1rTCqF4t6Tnq036c6t_rXgU=w1600-h1000-k-no,,,,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",,,,,,FALSE,None,Evergreen Apartments,,,,,,"https://www.google.com/maps/place/Evergreen+Apartments/@42.2767392,-83.75323619999999,14z/data=!4m8!1m2!2m1!1sEvergreen+Apartments!3m4!1s0x883cae24eadef8f9:0x697e558d44a60d17!8m2!3d42.2767392!4d-83.75323619999999",ChIJ-fje6iSuPIgRFw2mRI1Vfmk,0x883cae24eadef8f9:0x697e558d44a60d17,7601607286278458647,7601607286278458647,
"apartment building, 48107, Ann Arbor, MI, US",Mc Lean Apartments,,Apartment building,Apartment building,Apartment building,+1 734-662-3211,"505 N Division St, Ann Arbor, MI 48104",Old Fourth Ward,505 N Division St,Ann Arbor,48104,Michigan,Michigan,United States of America,US,42.2850345,-83.7440082,America/Detroit,,FALSE,,,,,,,,,,,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yz8itxoA0oe9FuuBgXwDdQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=267.26355&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yz8itxoA0oe9FuuBgXwDdQ&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=267.26355&pitch=0&thumbfov=100,,,,,,OPERATIONAL,{},,,,,,FALSE,None,Mc Lean Apartments,,,,,,"https://www.google.com/maps/place/Mc+Lean+Apartments/@42.285034499999995,-83.7440082,14z/data=!4m8!1m2!2m1!1sMc+Lean+Apartments!3m4!1s0x883cae14ffcdd673:0xf4e988933e520dbc!8m2!3d42.285034499999995!4d-83.7440082",ChIJc9bN_xSuPIgRvA1SPpOI6fQ,0x883cae14ffcdd673:0xf4e988933e520dbc,17647786780815134140,None,
"apartment building, 48107, Ann Arbor, MI, US",618 South Main,http://www.618southmain.com/,Apartment building,"Apartment building, Property management company",Apartment building,+1 734-913-8618,"618 S Main St, Ann Arbor, MI 48104",Old West Side,618 S Main St,Ann Arbor,48104,Michigan,Michigan,United States of America,US,42.2733897,-83.7495762,America/Detroit,,FALSE,4.4,33,"https://search.google.com/local/reviews?placeid=ChIJtUuQhDquPIgRSMN33qAzxMY&q=apartment+building,+48107,+Ann+Arbor,+MI,+US&authuser=0&hl=en&gl=US",,,4,0,1,2,26,30,https://lh5.googleusercontent.com/p/AF1QipMyqW_QPzuLnKNhPdfIqyYJB6NYX7cK-nLVZrV_=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMyqW_QPzuLnKNhPdfIqyYJB6NYX7cK-nLVZrV_=w1600-h1000-k-no,,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""10AM-4PM""}",Sunday:Closed|Monday:9AM-6PM|Tuesday:9AM-6PM|Wednesday:9AM-6PM|Thursday:9AM-6PM|Friday:9AM-6PM|Saturday:10AM-4PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh5.googleusercontent.com/-tXbTFtMlKR4/AAAAAAAAAAI/AAAAAAAAAAA/yYe7P3hRqpI/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,117781023874431646588,618 South Main,https://www.google.com/maps/contrib/117781023874431646588,,,,,"https://www.google.com/maps/place/618+South+Main/@42.273389699999996,-83.74957619999999,14z/data=!4m8!1m2!2m1!1s618+South+Main!3m4!1s0x883cae3a84904bb5:0xc6c433a0de77c348!8m2!3d42.273389699999996!4d-83.74957619999999",ChIJtUuQhDquPIgRSMN33qAzxMY,0x883cae3a84904bb5:0xc6c433a0de77c348,14322629480965194568,-4124114592744357048,
"apartment building, 48107, Ann Arbor, MI, US",608 High St Apts,https://annarborapartments.net/properties/high-street-545-north-state/,Apartment building,Apartment building,Apartment building,+1 734-741-9300,"608 High St, Ann Arbor, MI 48104",Old Fourth Ward,608 High St,Ann Arbor,48104,Michigan,Michigan,United States of America,US,42.286453,-83.7412426,America/Detroit,,FALSE,,,,,,,,,,,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EBNZnPQFmmabibAc2k5W-g&cb_client=search.gws-prod.gps&w=800&h=500&yaw=198.79425&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EBNZnPQFmmabibAc2k5W-g&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=198.79425&pitch=0&thumbfov=100,,,,,,OPERATIONAL,{},,,,,,FALSE,None,608 High St Apts,,,,,,"https://www.google.com/maps/place/608+High+St+Apts/@42.286453,-83.74124259999999,14z/data=!4m8!1m2!2m1!1s608+High+St+Apts!3m4!1s0x883cae14ae26d74f:0x8ec2e74279d9a838!8m2!3d42.286453!4d-83.74124259999999",ChIJT9cmrhSuPIgROKjZeULnwo4,0x883cae14ae26d74f:0x8ec2e74279d9a838,10287038771565799480,None,
"apartment building, 48107, Ann Arbor, MI, US",Parkside Apartments,https://annarborapartments.net/properties/parkside-apartments/,Apartment building,Apartment building,Apartment building,+1 734-741-9300,"810 W Huron St, Ann Arbor, MI 48103",None,810 W Huron St,Ann Arbor,48103,Michigan,Michigan,United States of America,US,42.281855,-83.7570485,America/Detroit,,FALSE,1,1,"https://search.google.com/local/reviews?placeid=ChIJ10ISICKuPIgRAU7oz7uz5Aw&q=apartment+building,+48107,+Ann+Arbor,+MI,+US&authuser=0&hl=en&gl=US",,,1,0,0,0,0,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xhFrHFd60E867a6l3lfQeA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=32.627083&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xhFrHFd60E867a6l3lfQeA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=32.627083&pitch=0&thumbfov=100,,,,,,OPERATIONAL,{},,,https://lh6.googleusercontent.com/-SRNPXDjlS2o/AAAAAAAAAAI/AAAAAAAAAAA/_Dgv88JYS0w/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,118036326653666050485,Parkside Apartments,https://www.google.com/maps/contrib/118036326653666050485,,,,,"https://www.google.com/maps/place/Parkside+Apartments/@42.281855,-83.7570485,14z/data=!4m8!1m2!2m1!1sParkside+Apartments!3m4!1s0x883cae22201242d7:0xce4b3bbcfe84e01!8m2!3d42.281855!4d-83.7570485",ChIJ10ISICKuPIgRAU7oz7uz5Aw,0x883cae22201242d7:0xce4b3bbcfe84e01,929065042373529089,929065042373529089,
"apartment building, 48107, Ann Arbor, MI, US",Z West Apartments,https://www.zwestapartments.com/?utm_source=GoogleMyBusiness,Student housing center,"Student housing center, Furnished apartment building",Student housing center,+1 734-786-3890,"401 Thompson St, Ann Arbor, MI 48104",None,401 Thompson St,Ann Arbor,48104,Michigan,Michigan,United States of America,US,42.2775412,-83.7430662,America/Detroit,,FALSE,4.1,67,"https://search.google.com/local/reviews?placeid=ChIJ7ygOLj-uPIgR-lPCJ2pe-Is&q=apartment+building,+48107,+Ann+Arbor,+MI,+US&authuser=0&hl=en&gl=US",,,8,5,1,8,45,30,https://lh5.googleusercontent.com/p/AF1QipNX4TlvoObAYoz_kSIpEWbqBdcGCBRFER4lTNgY=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNX4TlvoObAYoz_kSIpEWbqBdcGCBRFER4lTNgY=w1600-h1000-k-no,,"{""Sunday"": ""12-4PM"", ""Monday"": ""10AM-6PM"", ""Tuesday"": ""10AM-6PM"", ""Wednesday"": ""10AM-6PM"", ""Thursday"": ""10AM-6PM"", ""Friday"": ""10AM-6PM"", ""Saturday"": ""12-4PM""}",Sunday:12-4PM|Monday:10AM-6PM|Tuesday:10AM-6PM|Wednesday:10AM-6PM|Thursday:10AM-6PM|Friday:10AM-6PM|Saturday:12-4PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh4.googleusercontent.com/-IWRCETVZK_4/AAAAAAAAAAI/AAAAAAAAAAA/jVDEOr7DdZ0/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,109344339845764464389,Z West Apartments,https://www.google.com/maps/contrib/109344339845764464389,,https://www.zwestapartments.com/contact/?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB&utm_term=Appt,,https://www.zwestapartments.com/contact/?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB&utm_term=Appt,"https://www.google.com/maps/place/Z+West+Apartments/@42.277541199999995,-83.7430662,14z/data=!4m8!1m2!2m1!1sZ+West+Apartments!3m4!1s0x883cae3f2e0e28ef:0x8bf85e6a27c253fa!8m2!3d42.277541199999995!4d-83.7430662",ChIJ7ygOLj-uPIgR-lPCJ2pe-Is,0x883cae3f2e0e28ef:0x8bf85e6a27c253fa,10085915175522817018,-8360828898186734598,
"apartment building, 48107, Ann Arbor, MI, US",Brown Hill Apartments,https://brownhillapts.com/,Apartment building,Apartment building,Apartment building,+1 419-283-3430,"800 Brown St, Ann Arbor, MI 48104",None,800 Brown St,Ann Arbor,48104,Michigan,Michigan,United States of America,US,42.2714841,-83.7489216,America/Detroit,,FALSE,,,,,,,,,,,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dlf0OhKxXYJJm98eWctNmQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=237.65294&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dlf0OhKxXYJJm98eWctNmQ&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=237.65294&pitch=0&thumbfov=100,,,,,,OPERATIONAL,{},,,,,,FALSE,None,Brown Hill Apartments,,,,,,"https://www.google.com/maps/place/Brown+Hill+Apartments/@42.271484099999995,-83.7489216,14z/data=!4m8!1m2!2m1!1sBrown+Hill+Apartments!3m4!1s0x883cae30f4455555:0x17eca21ad83c1f89!8m2!3d42.271484099999995!4d-83.7489216",ChIJVVVF9DCuPIgRiR882Bqi7Bc,0x883cae30f4455555:0x17eca21ad83c1f89,1723930993556725641,None,
"apartment building, 48107, Ann Arbor, MI, US",Ann Arbor City Club Apartments,https://www.cityclubapartments.com/usa/ann-arbor-mi/downtown/ann-arbor-city?utm_source=gmb,Apartment complex,Apartment complex,Apartment complex,+1 734-205-9062,"201 S 1st St, Ann Arbor, MI 48104",Old West Side,201 S 1st St,Ann Arbor,48104,Michigan,Michigan,United States of America,US,42.2803996,-83.7507517,America/Detroit,,FALSE,4.2,29,"https://search.google.com/local/reviews?placeid=ChIJ7-REJj2uPIgRq31_7pBd4qE&q=apartment+building,+48107,+Ann+Arbor,+MI,+US&authuser=0&hl=en&gl=US",,,5,0,1,1,22,84,https://lh5.googleusercontent.com/p/AF1QipMR6QxHxfmQwnaFdoguiShKMWgGlJKfuDzBGaCK=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMR6QxHxfmQwnaFdoguiShKMWgGlJKfuDzBGaCK=w1600-h1000-k-no,,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-7:30PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-5PM""}",Sunday:Closed|Monday:9AM-6PM|Tuesday:9AM-6PM|Wednesday:9AM-6PM|Thursday:9AM-7:30PM|Friday:9AM-6PM|Saturday:9AM-5PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh3.googleusercontent.com/-EdbWruvhIw0/AAAAAAAAAAI/AAAAAAAAAAA/eetOAGsDucU/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,108569801675079649696,Ann Arbor City Club Apartments,https://www.google.com/maps/contrib/108569801675079649696,,http://2tour.site/kvo/igsb,,http://2tour.site/kvo/igsb,"https://www.google.com/maps/place/Ann+Arbor+City+Club+Apartments/@42.280399599999996,-83.7507517,14z/data=!4m8!1m2!2m1!1sAnn+Arbor+City+Club+Apartments!3m4!1s0x883cae3d2644e4ef:0xa1e25d90ee7f7dab!8m2!3d42.280399599999996!4d-83.7507517",ChIJ7-REJj2uPIgRq31_7pBd4qE,0x883cae3d2644e4ef:0xa1e25d90ee7f7dab,11664988861901012395,-6781755211808539221,
