query,name,site,type,subtypes,category,phone,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,located_in,working_hours,working_hours_old_format,other_hours,popular_times,business_status,about,range,posts,logo,description,typical_time_spent,verified,owner_id,owner_title,owner_link,reservation_links,booking_appointment_link,menu_link,order_links,location_link,place_id,google_id,cid,reviews_id,located_google_id
"apartment building, University of California, Santa Barbara, Santa Barbara, CA 93106",D63 Apartment Buildings,https://www.d63propertymanagement.com/,Apartment building,Apartment building,Apartment building,+1 805-715-1044,"6587 Cervantes Rd, Goleta, CA 93117",None,6587 Cervantes Rd,Goleta,93117,California,California,United States of America,US,34.4162497,-119.8578148,America/Los_Angeles,,FALSE,,,,,,,,,,,8,https://lh5.googleusercontent.com/p/AF1QipMjybGyHF-6es4H4zU4JoCOCd4_USWokn40fJbz=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMjybGyHF-6es4H4zU4JoCOCd4_USWokn40fJbz=w1600-h1000-k-no,,,,,,OPERATIONAL,{},,,,,,FALSE,None,D63 Apartment Buildings,,,,,,"https://www.google.com/maps/place/D63+Apartment+Buildings/@34.4162497,-119.8578148,14z/data=!4m8!1m2!2m1!1sD63+Apartment+Buildings!3m4!1s0x80e93fa60d9a9d1b:0xb6ca1b5e8cbe203f!8m2!3d34.4162497!4d-119.8578148",ChIJG52aDaY_6YARPyC-jF4byrY,0x80e93fa60d9a9d1b:0xb6ca1b5e8cbe203f,13171370153100582975,None,
"apartment building, University of California, Santa Barbara, Santa Barbara, CA 93106",Campus 880,https://www.stgeorgeassociates.com/campus-880/,Student housing center,"Student housing center, Apartment complex, Furnished apartment building",Student housing center,+1 805-637-2517,"880 Camino Del Sur, Isla Vista, CA 93117",None,880 Camino Del Sur,Isla Vista,93117,California,California,United States of America,US,34.4130995,-119.8623835,America/Los_Angeles,,FALSE,3.4,75,"https://search.google.com/local/reviews?placeid=ChIJEwB7z2k_6YARCXRzVHkssyM&q=apartment+building,+University+of+California,+Santa+Barbara,+Santa+Barbara,+CA+93106&authuser=0&hl=en&gl=US",,,26,3,2,2,42,4,https://lh5.googleusercontent.com/p/AF1QipPkOsHOPUJhCQuA3h5xklbikRq89gfoU88YdEjo=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPrBkEoCGzlJZYDLQWANROVATm-xs4vCJ07M42c=w1600-h1000-k-no,,"{""Sunday"": ""Closed"", ""Monday"": ""12-4PM"", ""Tuesday"": ""12-4PM"", ""Wednesday"": ""12-4PM"", ""Thursday"": ""12-4PM"", ""Friday"": ""12-4PM"", ""Saturday"": ""Closed""}",Sunday:Closed|Monday:12-4PM|Tuesday:12-4PM|Wednesday:12-4PM|Thursday:12-4PM|Friday:12-4PM|Saturday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh4.googleusercontent.com/-bI_1oxHptpc/AAAAAAAAAAI/AAAAAAAAAAA/q1BFf8LYkXE/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,112775845547431053720,Campus 880,https://www.google.com/maps/contrib/112775845547431053720,,https://campus880.com/contact,,https://campus880.com/contact,"https://www.google.com/maps/place/Campus+880/@34.4130995,-119.86238349999999,14z/data=!4m8!1m2!2m1!1sCampus+880!3m4!1s0x80e93f69cf7b0013:0x23b32c7954737409!8m2!3d34.4130995!4d-119.86238349999999",ChIJEwB7z2k_6YARCXRzVHkssyM,0x80e93f69cf7b0013:0x23b32c7954737409,2572448711778202633,2572448711778202633,
"apartment building, University of California, Santa Barbara, Santa Barbara, CA 93106",The Loop Apartments,https://www.theloopiv.com/?y_source=1_MTMxMDg4NTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Apartment building,"Apartment building, Apartment rental agency, Student housing center",Apartment building,+1 805-284-0882,"6533 Trigo Rd, Isla Vista, CA 93117",None,6533 Trigo Rd,Isla Vista,93117,California,California,United States of America,US,34.4109203,-119.855446,America/Los_Angeles,,FALSE,3.9,107,"https://search.google.com/local/reviews?placeid=ChIJVR54oGk_6YARrUcmDLrznzQ&q=apartment+building,+University+of+California,+Santa+Barbara,+Santa+Barbara,+CA+93106&authuser=0&hl=en&gl=US",,,21,4,3,15,64,115,https://lh5.googleusercontent.com/p/AF1QipOoI1ZlnvVEMMXaiSx1zRL-ziJR67CK2W4OyNRM=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOoI1ZlnvVEMMXaiSx1zRL-ziJR67CK2W4OyNRM=w1600-h1000-k-no,,"{""Sunday"": ""11AM-3PM"", ""Monday"": ""11AM-6PM"", ""Tuesday"": ""11AM-6PM"", ""Wednesday"": ""11AM-6PM"", ""Thursday"": ""11AM-6PM"", ""Friday"": ""11AM-6PM"", ""Saturday"": ""11AM-6PM""}",Sunday:11AM-3PM|Monday:11AM-6PM|Tuesday:11AM-6PM|Wednesday:11AM-6PM|Thursday:11AM-6PM|Friday:11AM-6PM|Saturday:11AM-6PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh4.googleusercontent.com/-x9Ddp1OUj74/AAAAAAAAAAI/AAAAAAAAAAA/edRvckS3PrQ/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,111309150410985712695,The Loop Apartments,https://www.google.com/maps/contrib/111309150410985712695,,https://www.theloopiv.com/Apartments/module/application_authentication/s111a/598344/show_in_popup/false/kill_session/1/?y_source=1_MTMxMDg4NTMtNzE1LWxvY2F0aW9uLnJlc2VydmF0aW9uX3VybA%3D%3D,,https://www.theloopiv.com/Apartments/module/application_authentication/s111a/598344/show_in_popup/false/kill_session/1/?y_source=1_MTMxMDg4NTMtNzE1LWxvY2F0aW9uLnJlc2VydmF0aW9uX3VybA%3D%3D,"https://www.google.com/maps/place/The+Loop+Apartments/@34.4109203,-119.855446,14z/data=!4m8!1m2!2m1!1sThe+Loop+Apartments!3m4!1s0x80e93f69a0781e55:0x349ff3ba0c2647ad!8m2!3d34.4109203!4d-119.855446",ChIJVR54oGk_6YARrUcmDLrznzQ,0x80e93f69a0781e55:0x349ff3ba0c2647ad,3792017391662548909,3792017391662548909,
"apartment building, University of California, Santa Barbara, Santa Barbara, CA 93106",Reif Apartments,http://www.kamap.net/,Apartment building,Apartment building,Apartment building,,"6589 Picasso Rd, Goleta, CA 93117",None,6589 Picasso Rd,Goleta,93117,California,California,United States of America,US,34.4149762,-119.8580613,America/Los_Angeles,,FALSE,,,,,,,,,,,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mupuyJx6j8PnweydPu0zdA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=133.31253&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mupuyJx6j8PnweydPu0zdA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=133.31253&pitch=0&thumbfov=100,,,,,,OPERATIONAL,{},,,,,,FALSE,None,Reif Apartments,,,,,,"https://www.google.com/maps/place/Reif+Apartments/@34.4149762,-119.85806129999999,14z/data=!4m8!1m2!2m1!1sReif+Apartments!3m4!1s0x80e93f67f462b49d:0xccce7f1f6a173d6a!8m2!3d34.4149762!4d-119.85806129999999",ChIJnbRi9Gc_6YARaj0Xah9_zsw,0x80e93f67f462b49d:0xccce7f1f6a173d6a,14757872801840315754,None,
"apartment building, University of California, Santa Barbara, Santa Barbara, CA 93106",ICON,https://www.iconapts.com/,Apartment building,"Apartment building, Apartment complex, Student housing center",Apartment complex,+1 805-324-6647,"6545 Trigo Rd, Goleta, CA 93117",None,6545 Trigo Rd,Goleta,93117,California,California,United States of America,US,34.4107149,-119.8559009,America/Los_Angeles,,FALSE,4.1,156,"https://search.google.com/local/reviews?placeid=ChIJFa5Ip2k_6YARElNaAbA13l0&q=apartment+building,+University+of+California,+Santa+Barbara,+Santa+Barbara,+CA+93106&authuser=0&hl=en&gl=US",,,30,1,3,6,116,46,https://lh5.googleusercontent.com/p/AF1QipMkSDF9OgZst3-PsBZYzNl0zKa72wTBnXrUWiQd=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMkSDF9OgZst3-PsBZYzNl0zKa72wTBnXrUWiQd=w1600-h1000-k-no,,"{""Sunday"": ""12-5PM"", ""Monday"": ""9AM-7PM"", ""Tuesday"": ""9AM-7PM"", ""Wednesday"": ""9AM-7PM"", ""Thursday"": ""9AM-7PM"", ""Friday"": ""9AM-7PM"", ""Saturday"": ""10AM-5PM""}",Sunday:12-5PM|Monday:9AM-7PM|Tuesday:9AM-7PM|Wednesday:9AM-7PM|Thursday:9AM-7PM|Friday:9AM-7PM|Saturday:10AM-5PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh4.googleusercontent.com/-19VIx5NjEM8/AAAAAAAAAAI/AAAAAAAAAAA/_RfqaeEdD8E/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,109638965753076962891,ICON,https://www.google.com/maps/contrib/109638965753076962891,,https://www.iconapts.com/contact-us,,https://www.iconapts.com/contact-us,"https://www.google.com/maps/place/ICON/@34.410714899999995,-119.8559009,14z/data=!4m8!1m2!2m1!1sICON!3m4!1s0x80e93f69a748ae15:0x5dde35b0015a5312!8m2!3d34.410714899999995!4d-119.8559009",ChIJFa5Ip2k_6YARElNaAbA13l0,0x80e93f69a748ae15:0x5dde35b0015a5312,6763902720410276626,6763902720410276626,
"apartment building, University of California, Santa Barbara, Santa Barbara, CA 93106",CBC & The Sweeps Apartments,https://www.essexapartmenthomes.com/apartments/goleta/cbc-and-the-sweeps?sc_camp=2648D1300BEC431BB11EB86F02F52DBD,Apartment building,"Apartment building, Apartment complex, Apartment rental agency, Housing complex",Apartment complex,+1 805-465-7379,"6721 El Colegio Rd, Goleta, CA 93117",None,6721 El Colegio Rd,Goleta,93117,California,California,United States of America,US,34.4164047,-119.8630905,America/Los_Angeles,,FALSE,3.1,34,"https://search.google.com/local/reviews?placeid=ChIJWc1vD1w_6YART14p_7J6VTs&q=apartment+building,+University+of+California,+Santa+Barbara,+Santa+Barbara,+CA+93106&authuser=0&hl=en&gl=US",,,12,2,2,7,11,16,https://lh5.googleusercontent.com/p/AF1QipME_jtljh3f6VMdcltr2agOlxaYVhJoRx4CX8F2=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipME_jtljh3f6VMdcltr2agOlxaYVhJoRx4CX8F2=w1600-h1000-k-no,,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""10AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-6PM""}",Sunday:Closed|Monday:9AM-6PM|Tuesday:9AM-6PM|Wednesday:10AM-6PM|Thursday:9AM-6PM|Friday:9AM-6PM|Saturday:9AM-6PM,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh6.googleusercontent.com/-YiEuzhBtKuc/AAAAAAAAAAI/AAAAAAAAAAA/W98JuS5qmOU/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,100118257626062171323,CBC & The Sweeps Apartments,https://www.google.com/maps/contrib/100118257626062171323,,https://www.essexapartmenthomes.com/apartments/goleta/cbc-and-the-sweeps?sc_camp=2648D1300BEC431BB11EB86F02F52DBD&utm_source=googlesearch,,https://www.essexapartmenthomes.com/apartments/goleta/cbc-and-the-sweeps?sc_camp=2648D1300BEC431BB11EB86F02F52DBD&utm_source=googlesearch,"https://www.google.com/maps/place/CBC+%26+The+Sweeps+Apartments/@34.4164047,-119.8630905,14z/data=!4m8!1m2!2m1!1sCBC+%26+The+Sweeps+Apartments!3m4!1s0x80e93f5c0f6fcd59:0x3b557ab2ff295e4f!8m2!3d34.4164047!4d-119.8630905",ChIJWc1vD1w_6YART14p_7J6VTs,0x80e93f5c0f6fcd59:0x3b557ab2ff295e4f,4275458330461822543,4275458330461822543,
"apartment building, University of California, Santa Barbara, Santa Barbara, CA 93106",Park Place Apartments,https://www.kamap.net/,Apartment complex,Apartment complex,Apartment complex,,"6510 Picasso Rd, Isla Vista, CA 93117",None,6510 Picasso Rd,Isla Vista,93117,California,California,United States of America,US,34.4153051,-119.8540539,America/Los_Angeles,,FALSE,3.8,4,"https://search.google.com/local/reviews?placeid=ChIJhZcIImY_6YAR_rG1pM_Nq9o&q=apartment+building,+University+of+California,+Santa+Barbara,+Santa+Barbara,+CA+93106&authuser=0&hl=en&gl=US",,,0,0,2,1,1,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sh2q9ra4sfYHGu8b9Bbe_g&cb_client=search.gws-prod.gps&w=800&h=500&yaw=359.56104&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sh2q9ra4sfYHGu8b9Bbe_g&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=359.56104&pitch=0&thumbfov=100,,,,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true}}",,,,,,FALSE,None,Park Place Apartments,,,,,,"https://www.google.com/maps/place/Park+Place+Apartments/@34.4153051,-119.8540539,14z/data=!4m8!1m2!2m1!1sPark+Place+Apartments!3m4!1s0x80e93f6622089785:0xdaabcdcfa4b5b1fe!8m2!3d34.4153051!4d-119.8540539",ChIJhZcIImY_6YAR_rG1pM_Nq9o,0x80e93f6622089785:0xdaabcdcfa4b5b1fe,15756914012991107582,-2689830060718444034,
"apartment building, University of California, Santa Barbara, Santa Barbara, CA 93106",The Plaza Lofts,http://plazaloftsiv.com/,Apartment building,Apartment building,Apartment building,+1 805-895-9155,"901 Embarcadero del Mar Unit 104, Isla Vista, CA 93117",None,901 Embarcadero del Mar Unit 104,Isla Vista,93117,California,California,United States of America,US,34.4129253,-119.8573603,America/Los_Angeles,,FALSE,3,2,"https://search.google.com/local/reviews?placeid=ChIJBXhmFmg_6YARvCuAQ4W-sH8&q=apartment+building,+University+of+California,+Santa+Barbara,+Santa+Barbara,+CA+93106&authuser=0&hl=en&gl=US",,,1,0,0,0,1,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ufNjxqzLuIazzEAAYxCWZw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=194.02823&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ufNjxqzLuIazzEAAYxCWZw&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=194.02823&pitch=0&thumbfov=100,,,,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,,,,FALSE,None,The Plaza Lofts,,,,,,"https://www.google.com/maps/place/The+Plaza+Lofts/@34.4129253,-119.8573603,14z/data=!4m8!1m2!2m1!1sThe+Plaza+Lofts!3m4!1s0x80e93f6816667805:0x7fb0be8543802bbc!8m2!3d34.4129253!4d-119.8573603",ChIJBXhmFmg_6YARvCuAQ4W-sH8,0x80e93f6816667805:0x7fb0be8543802bbc,9201063518290324412,9201063518290324412,
"apartment building, University of California, Santa Barbara, Santa Barbara, CA 93106",Studio Plaza Apartments,https://www.studioplazaapts.com/,Apartment building,Apartment building,Apartment building,+1 805-968-8555,"785 Camino Del Sur, Goleta, CA 93117",None,785 Camino Del Sur,Goleta,93117,California,California,United States of America,US,34.4154472,-119.8630294,America/Los_Angeles,,FALSE,3.9,14,"https://search.google.com/local/reviews?placeid=ChIJ1c-bfFw_6YARyJdyviL-D_w&q=apartment+building,+University+of+California,+Santa+Barbara,+Santa+Barbara,+CA+93106&authuser=0&hl=en&gl=US",,,3,1,0,1,9,8,https://lh5.googleusercontent.com/p/AF1QipM41imWAIQCzV4Jhz38cwCk6gSACpRHvnkCJZE8=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipM41imWAIQCzV4Jhz38cwCk6gSACpRHvnkCJZE8=w1600-h1000-k-no,,,,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,,,,FALSE,None,Studio Plaza Apartments,,,,,,"https://www.google.com/maps/place/Studio+Plaza+Apartments/@34.415447199999996,-119.86302939999999,14z/data=!4m8!1m2!2m1!1sStudio+Plaza+Apartments!3m4!1s0x80e93f5c7c9bcfd5:0xfc0ffe22be7297c8!8m2!3d34.415447199999996!4d-119.86302939999999",ChIJ1c-bfFw_6YARyJdyviL-D_w,0x80e93f5c7c9bcfd5:0xfc0ffe22be7297c8,18163015247386023880,-283728826323527736,
"apartment building, University of California, Santa Barbara, Santa Barbara, CA 93106",Capri at Isla Vista Apartments,https://www.capriiv.com/,Student housing center,"Student housing center, Apartment building, Apartment complex, Furnished apartment building",Student housing center,+1 805-685-7946,"6598 Seville Rd, Isla Vista, CA 93117",None,6598 Seville Rd,Isla Vista,93117,California,California,United States of America,US,34.411934,-119.85808,America/Los_Angeles,,FALSE,4.1,91,"https://search.google.com/local/reviews?placeid=ChIJs5oxJmg_6YARhnR7ZaC25d0&q=apartment+building,+University+of+California,+Santa+Barbara,+Santa+Barbara,+CA+93106&authuser=0&hl=en&gl=US",,,13,1,5,13,59,26,https://lh5.googleusercontent.com/p/AF1QipOPmRp1fIHvg-tmz7-2PAyxRxxlAMw2IA9lJgI_=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOPmRp1fIHvg-tmz7-2PAyxRxxlAMw2IA9lJgI_=w1600-h1000-k-no,,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-4PM"", ""Tuesday"": ""9AM-4PM"", ""Wednesday"": ""9AM-4PM"", ""Thursday"": ""9AM-4PM"", ""Friday"": ""9AM-4PM"", ""Saturday"": ""Closed""}",Sunday:Closed|Monday:9AM-4PM|Tuesday:9AM-4PM|Wednesday:9AM-4PM|Thursday:9AM-4PM|Friday:9AM-4PM|Saturday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh5.googleusercontent.com/-WJrylP-hNMQ/AAAAAAAAAAI/AAAAAAAAAAA/wXIi1fz368A/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,110710266642475888616,Capri at Isla Vista Apartments,https://www.google.com/maps/contrib/110710266642475888616,,,,,"https://www.google.com/maps/place/Capri+at+Isla+Vista+Apartments/@34.411933999999995,-119.85808,14z/data=!4m8!1m2!2m1!1sCapri+at+Isla+Vista+Apartments!3m4!1s0x80e93f6826319ab3:0xdde5b6a0657b7486!8m2!3d34.411933999999995!4d-119.85808",ChIJs5oxJmg_6YARhnR7ZaC25d0,0x80e93f6826319ab3:0xdde5b6a0657b7486,15989386852062426246,-2457357221647125370,
