query,name,site,type,subtypes,category,phone,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,located_in,working_hours,working_hours_old_format,other_hours,popular_times,business_status,about,range,posts,logo,description,typical_time_spent,verified,owner_id,owner_title,owner_link,reservation_links,booking_appointment_link,menu_link,order_links,location_link,place_id,google_id,cid,reviews_id,located_google_id
"apartment building, 61801, Urbana, IL, US",Edge of Mall Apartments,https://www.pacificmgt.net/residential-properties/edge-of-mall-apartments-urbana/detail,Apartment building,Apartment building,Apartment building,+1 217-328-6409,"109 W Illinois St, Urbana, IL 61801",None,109 W Illinois St,Urbana,61801,Illinois,Illinois,United States of America,US,40.1089611,-88.2083718,America/Chicago,,FALSE,3,6,"https://search.google.com/local/reviews?placeid=ChIJI13D8grXDIgROLvHMry9ppw&q=apartment+building,+61801,+Urbana,+IL,+US&authuser=0&hl=en&gl=US",,,2,0,2,0,2,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=biMao1Kda8TWVNKskTaXUg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=197.8039&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=biMao1Kda8TWVNKskTaXUg&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=197.8039&pitch=0&thumbfov=100,,,,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,,,,FALSE,None,Edge of Mall Apartments,,,,,,"https://www.google.com/maps/place/Edge+of+Mall+Apartments/@40.108961099999995,-88.2083718,14z/data=!4m8!1m2!2m1!1sEdge+of+Mall+Apartments!3m4!1s0x880cd70af2c35d23:0x9ca6bdbc32c7bb38!8m2!3d40.108961099999995!4d-88.2083718",ChIJI13D8grXDIgROLvHMry9ppw,0x880cd70af2c35d23:0x9ca6bdbc32c7bb38,11287918132054178616,-7158825941655373000,
"apartment building, 61801, Urbana, IL, US",Building 1335,,Apartment building,Apartment building,Apartment building,,"Urbana, IL 61801",None,,Urbana,61801,Illinois,Illinois,United States of America,US,40.1246236,-88.2236727,America/Chicago,,FALSE,,,,,,,,,,,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e1a-VlEp939wWnziJ1Z1ow&cb_client=search.gws-prod.gps&w=800&h=500&yaw=111.70526&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e1a-VlEp939wWnziJ1Z1ow&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=111.70526&pitch=0&thumbfov=100,,,,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,,,,FALSE,None,Building 1335,,,,,,"https://www.google.com/maps/place/Building+1335/@40.1246236,-88.2236727,14z/data=!4m8!1m2!2m1!1sBuilding+1335!3m4!1s0x880cd73f48b8c15b:0xa9ff2017475435cd!8m2!3d40.1246236!4d-88.2236727",ChIJW8G4SD_XDIgRzTVURxcg_6k,0x880cd73f48b8c15b:0xa9ff2017475435cd,12249544795824076237,None,
"apartment building, 61801, Urbana, IL, US",1010 W. Main Apartments,https://ugroupcu.com/property-details/1010-w-main-urbana/,Furnished apartment building,Furnished apartment building,Furnished apartment building,+1 217-344-0394,"1010 W Main St, Urbana, IL 61801",None,1010 W Main St,Urbana,61801,Illinois,Illinois,United States of America,US,40.1146684,-88.2218694,America/Chicago,,FALSE,5,1,"https://search.google.com/local/reviews?placeid=ChIJqeBKiWvXDIgRFhkYiOuqaZY&q=apartment+building,+61801,+Urbana,+IL,+US&authuser=0&hl=en&gl=US",,,0,0,0,0,1,7,https://lh5.googleusercontent.com/p/AF1QipOYvinPYOo0n1CG5L2iASb9n4oSA5FpYW5kihMn=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOYvinPYOo0n1CG5L2iASb9n4oSA5FpYW5kihMn=w1600-h1000-k-no,,,,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",,,,,,FALSE,None,1010 W. Main Apartments,,,,,,"https://www.google.com/maps/place/1010+W.+Main+Apartments/@40.1146684,-88.2218694,14z/data=!4m8!1m2!2m1!1s1010+W.+Main+Apartments!3m4!1s0x880cd76b894ae0a9:0x9669aaeb88181916!8m2!3d40.1146684!4d-88.2218694",ChIJqeBKiWvXDIgRFhkYiOuqaZY,0x880cd76b894ae0a9:0x9669aaeb88181916,10838381906821126422,-7608362166888425194,
"apartment building, 61801, Urbana, IL, US",1009 W. Clark Apartments,http://smithapartments-cu.com/,Furnished apartment building,Furnished apartment building,Furnished apartment building,+1 217-384-1925,"1009 W Clark St, Urbana, IL 61801",None,1009 W Clark St,Urbana,61801,Illinois,Illinois,United States of America,US,40.1151774,-88.2218872,America/Chicago,,FALSE,,,,,,,,,,,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BYkNSbYKCL2qH6iGJCMSKw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=249.89877&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BYkNSbYKCL2qH6iGJCMSKw&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=249.89877&pitch=0&thumbfov=100,,,,,,OPERATIONAL,{},,,,,,FALSE,None,1009 W. Clark Apartments,,,,,,"https://www.google.com/maps/place/1009+W.+Clark+Apartments/@40.1151774,-88.2218872,14z/data=!4m8!1m2!2m1!1s1009+W.+Clark+Apartments!3m4!1s0x880cd76bf51bfd4d:0x8cde264964e59332!8m2!3d40.1151774!4d-88.2218872",ChIJTf0b9WvXDIgRMpPlZEkm3ow,0x880cd76bf51bfd4d:0x8cde264964e59332,10150592706806911794,None,
"apartment building, 61801, Urbana, IL, US",Willowbrook Apartments,,Apartment building,Apartment building,Apartment building,,"1601 N Willow Rd, Urbana, IL 61801",None,1601 N Willow Rd,Urbana,61801,Illinois,Illinois,United States of America,US,40.1275625,-88.2010693,America/Chicago,,FALSE,3.6,5,"https://search.google.com/local/reviews?placeid=ChIJG59C64bXDIgRAc3zW3F30iM&q=apartment+building,+61801,+Urbana,+IL,+US&authuser=0&hl=en&gl=US",,,1,1,0,0,3,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dJ1i88PcvII5fF3oleOa8Q&cb_client=search.gws-prod.gps&w=800&h=500&yaw=251.92455&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dJ1i88PcvII5fF3oleOa8Q&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=251.92455&pitch=0&thumbfov=100,,,,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",,,https://lh3.googleusercontent.com/-O_CnJWGwmwM/AAAAAAAAAAI/AAAAAAAAAAA/-0-VaVlRXnM/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,111913832676887396739,Willowbrook Apartments,https://www.google.com/maps/contrib/111913832676887396739,,,,,"https://www.google.com/maps/place/Willowbrook+Apartments/@40.127562499999996,-88.2010693,14z/data=!4m8!1m2!2m1!1sWillowbrook+Apartments!3m4!1s0x880cd786eb429f1b:0x23d277715bf3cd01!8m2!3d40.127562499999996!4d-88.2010693",ChIJG59C64bXDIgRAc3zW3F30iM,0x880cd786eb429f1b:0x23d277715bf3cd01,2581256865194429697,2581256865194429697,
"apartment building, 61801, Urbana, IL, US",Smith Apartments,http://smithapartments-cu.com/,Apartment building,Apartment building,Apartment building,+1 217-384-1925,"604 W Stoughton Street #12, Urbana, IL 61801",None,604 W Stoughton Street #12,Urbana,61801,Illinois,Illinois,United States of America,US,40.1132603,-88.2149848,America/Chicago,,FALSE,4.6,19,"https://search.google.com/local/reviews?placeid=ChIJ1UnG-3LXDIgR68yX9mQ2MFI&q=apartment+building,+61801,+Urbana,+IL,+US&authuser=0&hl=en&gl=US",,,1,1,0,1,16,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JkzHj3JXGwuog_B85T5hWA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=6.465415&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JkzHj3JXGwuog_B85T5hWA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=6.465415&pitch=0&thumbfov=100,,,,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh6.googleusercontent.com/-tbg18L46zho/AAAAAAAAAAI/AAAAAAAAAAA/ccOl3LLLFQc/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,111078187094515436931,Smith Apartments,https://www.google.com/maps/contrib/111078187094515436931,,,,,"https://www.google.com/maps/place/Smith+Apartments/@40.1132603,-88.2149848,14z/data=!4m8!1m2!2m1!1sSmith+Apartments!3m4!1s0x880cd772fbc649d5:0x52303664f697cceb!8m2!3d40.1132603!4d-88.2149848",ChIJ1UnG-3LXDIgR68yX9mQ2MFI,0x880cd772fbc649d5:0x52303664f697cceb,5922293317253975275,5922293317253975275,
"apartment building, 61801, Urbana, IL, US",Building at 203-205 North Market Street,,Apartment building,Apartment building,Apartment building,,"110 E University Ave, Urbana, IL 61801",None,110 E University Ave,Urbana,61801,Illinois,Illinois,United States of America,US,40.1172107,-88.2052604,America/Chicago,,FALSE,,,,,,,,,,,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hd3tDXkRYmSMlkWtkszQ1g&cb_client=search.gws-prod.gps&w=800&h=500&yaw=323.5729&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hd3tDXkRYmSMlkWtkszQ1g&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=323.5729&pitch=0&thumbfov=100,,,,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",,,,,,FALSE,None,Building at 203-205 North Market Street,,,,,,"https://www.google.com/maps/place/Building+at+203-205+North+Market+Street/@40.1172107,-88.2052604,14z/data=!4m8!1m2!2m1!1sBuilding+at+203-205+North+Market+Street!3m4!1s0x880cd79d910a05a7:0x6581fdcdd35cfeb4!8m2!3d40.1172107!4d-88.2052604",ChIJpwUKkZ3XDIgRtP5c0839gWU,0x880cd79d910a05a7:0x6581fdcdd35cfeb4,7314406330282606260,None,
"apartment building, 61801, Urbana, IL, US",Element on Main Apartments,https://chooseelement.com/,Apartment building,"Apartment building, Apartment complex, Apartment rental agency, Student housing center",Apartment complex,+1 217-384-5876,"502 W Main St, Urbana, IL 61801",None,502 W Main St,Urbana,61801,Illinois,Illinois,United States of America,US,40.114352,-88.2132589,America/Chicago,,FALSE,4.4,59,"https://search.google.com/local/reviews?placeid=ChIJ06hDonPXDIgRwvaC5IF3CaA&q=apartment+building,+61801,+Urbana,+IL,+US&authuser=0&hl=en&gl=US",,,5,1,1,9,43,95,https://lh5.googleusercontent.com/p/AF1QipPVqUkOanA8nmwvxQEIvKx9V65t3Ld_DkAhlMzZ=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPVqUkOanA8nmwvxQEIvKx9V65t3Ld_DkAhlMzZ=w1600-h1000-k-no,,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""Closed""}",Sunday:Closed|Monday:9AM-5PM|Tuesday:9AM-5PM|Wednesday:9AM-5PM|Thursday:9AM-5PM|Friday:9AM-5PM|Saturday:Closed,,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",,,https://lh3.googleusercontent.com/-FtleIjwRFzc/AAAAAAAAAAI/AAAAAAAAAAA/b539Z7bw-GY/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,106391300726227480471,Element on Main Apartments,https://www.google.com/maps/contrib/106391300726227480471,,,,,"https://www.google.com/maps/place/Element+on+Main+Apartments/@40.114352,-88.2132589,14z/data=!4m8!1m2!2m1!1sElement+on+Main+Apartments!3m4!1s0x880cd773a243a8d3:0xa0097781e482f6c2!8m2!3d40.114352!4d-88.2132589",ChIJ06hDonPXDIgRwvaC5IF3CaA,0x880cd773a243a8d3:0xa0097781e482f6c2,11531879720627140290,-6914864353082411326,
"apartment building, 61801, Urbana, IL, US",Best Apartments,,Apartment building,Apartment building,Apartment building,+1 217-384-7875,"208 Pell Cir, Urbana, IL 61801",None,208 Pell Cir,Urbana,61801,Illinois,Illinois,United States of America,US,40.088143,-88.2049436,America/Chicago,,FALSE,,,,,,,,,,,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U37UgxYirzLzBhSnipJh_Q&cb_client=search.gws-prod.gps&w=800&h=500&yaw=1.6285968&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U37UgxYirzLzBhSnipJh_Q&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=1.6285968&pitch=0&thumbfov=100,,,,,,OPERATIONAL,{},,,,,,FALSE,None,Best Apartments,,,,,,"https://www.google.com/maps/place/Best+Apartments/@40.088142999999995,-88.2049436,14z/data=!4m8!1m2!2m1!1sBest+Apartments!3m4!1s0x880cd655a82e64e1:0x476801a4d00f1d08!8m2!3d40.088142999999995!4d-88.2049436",ChIJ4WQuqFXWDIgRCB0P0KQBaEc,0x880cd655a82e64e1:0x476801a4d00f1d08,5145364381647707400,None,
"apartment building, 61801, Urbana, IL, US",901 Western,http://901western.com/,Apartment building,"Apartment building, Apartment complex, Apartment rental agency, Furnished apartment building, Housing complex, Student housing center",Apartment complex,+1 217-689-1550,"901 W Western Ave, Urbana, IL 61801",None,901 W Western Ave,Urbana,61801,Illinois,Illinois,United States of America,US,40.1120749,-88.2195665,America/Chicago,,FALSE,4.3,61,"https://search.google.com/local/reviews?placeid=ChIJ5Sku2WzXDIgRUv6cWQoX9q0&q=apartment+building,+61801,+Urbana,+IL,+US&authuser=0&hl=en&gl=US",,,8,2,1,5,45,34,https://lh5.googleusercontent.com/p/AF1QipNZX5ZBiT4YZasZbP5qh7kvg4TvA0IroJfbGzIt=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNZX5ZBiT4YZasZbP5qh7kvg4TvA0IroJfbGzIt=w1600-h1000-k-no,,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""10AM-4PM""}",Sunday:Closed|Monday:9AM-6PM|Tuesday:9AM-6PM|Wednesday:9AM-6PM|Thursday:9AM-6PM|Friday:9AM-6PM|Saturday:10AM-4PM,,,OPERATIONAL,"{""Service options"": {""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",,,https://lh3.googleusercontent.com/-y_3-ReeQX68/AAAAAAAAAAI/AAAAAAAAAAA/53i8ZtjOQII/s44-p-k-no-ns-nd/photo.jpg,,,TRUE,102713492816744131878,901 Western,https://www.google.com/maps/contrib/102713492816744131878,,https://www.901western.com/,,https://www.901western.com/,"https://www.google.com/maps/place/901+Western/@40.112074899999996,-88.2195665,14z/data=!4m8!1m2!2m1!1s901+Western!3m4!1s0x880cd76cd92e29e5:0xadf6170a599cfe52!8m2!3d40.112074899999996!4d-88.2195665",ChIJ5Sku2WzXDIgRUv6cWQoX9q0,0x880cd76cd92e29e5:0xadf6170a599cfe52,12535231946052927058,-5911512127656624558,
